# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
恐怕	e rằng, sợ rằng
赚	kiếm (tiền)	zhuàn	to earn; to make a profit
组成	tạo thành
嘴	miệng
最好	tốt nhất
最后	cuối cùng
尊重	tôn trọng
座	tòa, ngọn (lượng từ)
做生意	làm ăn, kinh doanh
座位	chỗ ngồi
作者	tác giả
组织	tổ chức
唉	ôi, chao ôi
爱护	yêu quý, giữ gìn
爱惜	quý trọng, tiếc
爱心	tấm lòng yêu thương
岸	bờ
安慰	an ủi
安装	lắp đặt, cài đặt
摆	bày, đặt
棒	giỏi, cừ; gậy
傍晚	chập tối
办理	làm thủ tục, xử lý
班主任	giáo viên chủ nhiệm
宝贝	bảo bối, cục cưng
保持	giữ, duy trì
保存	bảo tồn, lưu
报告	báo cáo
宝贵	quý giá
包裹	bưu kiện, gói
包含	bao hàm
保留	giữ lại, bảo lưu
保险	bảo hiểm; an toàn
包子	bánh bao
把握	nắm bắt; sự chắc chắn
背	lưng; học thuộc
悲观	bi quan
背景	bối cảnh
被子	chăn
本科	đại học (hệ cử nhân)
本领	bản lĩnh, tài năng
本质	bản chất
便	tiện; liền
编辑	biên tập
辩论	tranh luận
鞭炮	pháo
标点	dấu câu
表面	bề mặt
表明	tỏ rõ, biểu thị
表情	biểu cảm, nét mặt
表现	biểu hiện, thể hiện
标志	dấu hiệu, biểu tượng
彼此	lẫn nhau
毕竟	dù sao, rốt cuộc
比例	tỷ lệ
避免	tránh
丙	bính (can thứ ba); C
病毒	vi rút
必然	tất nhiên, tất yếu
比如	ví dụ như
必需	cần thiết, thiết yếu
必要	cần thiết
薄	mỏng
玻璃	thủy tinh, kính
博物馆	viện bảo tàng
脖子	cổ
布	vải
不安	bất an
不必	không cần
补充	bổ sung
不得了	ghê gớm, nghiêm trọng; cực kỳ
不断	không ngừng
不好意思	ngại, xin lỗi
不见得	chưa chắc
部门	bộ phận, ban ngành
不免	khó tránh khỏi
不耐烦	mất kiên nhẫn
不然	nếu không thì
不如	không bằng
不要紧	không sao
步骤	bước, các bước
不足	không đủ, thiếu
踩	giẫm, đạp
财产	tài sản
采访	phỏng vấn
彩虹	cầu vồng
采取	áp dụng, thực hiện
残疾	tàn tật, khuyết tật
参考	tham khảo
惭愧	xấu hổ, hổ thẹn
餐厅	nhà hàng, phòng ăn
参与	tham dự, tham gia
操场	sân vận động
操心	lo lắng, bận tâm
册	quyển, cuốn
曾经	từng, đã từng
厕所	nhà vệ sinh
测验	kiểm tra
插	cắm, chèn
差别	khác biệt
拆	tháo, dỡ
常识	kiến thức thường thức
长途	đường dài
产品	sản phẩm
产生	nảy sinh, sinh ra
朝	hướng về; triều đại
炒	xào
抄	chép, sao chép
朝代	triều đại
吵架	cãi nhau
叉子	cái nĩa
彻底	triệt để
车库	ga-ra
趁	nhân lúc
乘	đi (xe, tàu); nhân
承担	gánh vác, đảm nhận
程度	mức độ, trình độ
成分	thành phần
成果	thành quả
称呼	xưng hô, gọi
成就	thành tựu
诚恳	chân thành
成立	thành lập
承认	thừa nhận
承受	chịu đựng, gánh chịu
程序	trình tự; chương trình (máy tính)
成语	thành ngữ
称赞	khen ngợi
成长	trưởng thành, lớn lên
沉默	im lặng, trầm mặc
车厢	toa xe
翅膀	cánh
吃亏	chịu thiệt
持续	tiếp tục, kéo dài
池子	ao, bể
尺子	thước kẻ
重	lại, lần nữa	chóng	again; to repeat
冲	xông, lao; xối, pha
充电器	sạc, bộ sạc
充分	đầy đủ
重复	lặp lại
充满	tràn đầy
宠物	thú cưng
臭	thối, hôi
丑	xấu
抽屉	ngăn kéo
抽象	trừu tượng
除	trừ, ngoài; chia
传播	truyền bá, lan truyền
传递	truyền, chuyển
闯	xông vào
窗帘	rèm cửa
创造	sáng tạo
传染	lây nhiễm
传说	truyền thuyết
传统	truyền thống
出版	xuất bản
除非	trừ phi
吹	thổi
初级	sơ cấp
出口	lối ra; xuất khẩu
处理	xử lý
出色	xuất sắc
除夕	đêm giao thừa
出席	tham dự, có mặt
磁带	băng cát-xét
刺激	kích thích
此外	ngoài ra
次要	thứ yếu
辞职	từ chức
从此	từ đó
从而	từ đó, do đó
匆忙	vội vàng
从前	trước đây, ngày xưa
从事	làm (nghề), theo đuổi
醋	giấm
催	giục
促进	thúc đẩy
存	gửi, lưu; tồn tại
存在	tồn tại
措施	biện pháp
错误	sai lầm, lỗi
促使	thúc đẩy, khiến cho
达到	đạt đến
大方	hào phóng; trang nhã
打工	làm thuê, làm thêm
呆	ngẩn ra; ở lại
贷款	vay tiền, khoản vay
待遇	đãi ngộ
打交道	giao thiệp, tiếp xúc
淡	nhạt
单纯	đơn thuần
单调	đơn điệu
单独	một mình, riêng lẻ
挡	chắn, cản
当代	đương đại
担任	đảm nhiệm
单位	đơn vị
耽误	làm lỡ, làm chậm trễ
胆小鬼	kẻ nhát gan
单元	đơn nguyên, bài (giáo trình)
倒	đổ, rót; ngược
岛	đảo
到达	đến, tới nơi
道德	đạo đức
道理	đạo lý, lẽ phải
倒霉	xui xẻo
导演	đạo diễn
导致	dẫn đến
打喷嚏	hắt hơi
打听	hỏi thăm, dò hỏi
大象	con voi
大型	cỡ lớn
答应	đồng ý, nhận lời
打招呼	chào hỏi
等待	chờ đợi
等候	chờ, đợi
登记	đăng ký
登机牌	thẻ lên máy bay
等于	bằng, tương đương
递	đưa, chuyển
滴	giọt; nhỏ giọt
电池	pin
电台	đài phát thanh
点头	gật đầu
点心	điểm tâm, đồ ăn nhẹ
钓	câu (cá)
地道	chính hiệu, chuẩn
地理	địa lý
顶	đỉnh; chiếc (mũ)
丁	đinh (can thứ tư); D
地区	khu vực
的确	quả thật
敌人	kẻ thù
地毯	thảm
地位	địa vị
地震	động đất
冻	đông lạnh; rét cóng
洞	hang, lỗ
动画片	phim hoạt hình
逗	trêu chọc; buồn cười
豆腐	đậu phụ
短信	tin nhắn
度过	trải qua
堆	đống; chất đống
对比	đối chiếu, so sánh
对待	đối đãi, đối xử
对方	đối phương
对手	đối thủ
对象	đối tượng; người yêu
对于	đối với
独立	độc lập
吨	tấn
蹲	ngồi xổm
躲藏	trốn, ẩn nấp
多亏	may nhờ, may mà
多余	thừa, dư
独特	độc đáo
恶劣	tồi tệ, xấu
发表	phát biểu, đăng
发愁	lo buồn
发达	phát triển, phát đạt
发抖	run rẩy
发挥	phát huy
罚款	phạt tiền
发明	phát minh
翻	lật, giở
反而	ngược lại, trái lại
反复	lặp đi lặp lại
方	vuông; phương, hướng
妨碍	cản trở
方案	phương án
房东	chủ nhà
仿佛	dường như
方式	phương thức, cách thức
放松	thư giãn
繁荣	phồn vinh
凡是	phàm là, hễ là
反应	phản ứng
反正	dù sao, đằng nào
发票	hóa đơn
发言	phát biểu
法院	tòa án
肺	phổi
非	không phải; phi
废话	lời thừa, nói nhảm
费用	chi phí
肥皂	xà phòng
分别	chia tay; phân biệt; lần lượt
分布	phân bố
奋斗	phấn đấu
纷纷	tới tấp, lần lượt
讽刺	châm biếm
风格	phong cách
疯狂	điên cuồng
风俗	phong tục
风险	rủi ro
愤怒	phẫn nộ
分配	phân phối, phân công
分析	phân tích
否定	phủ định
否认	phủ nhận
扶	đỡ, dìu
幅	bức (lượng từ tranh)
服从	phục tùng
辅导	phụ đạo, kèm cặp
付款	thanh toán
妇女	phụ nữ
复制	sao chép
服装	trang phục
盖	đậy; nắp; xây
改革	cải cách
改进	cải tiến
概括	khái quát
概念	khái niệm
改善	cải thiện
改正	sửa chữa (sai sót)
干脆	dứt khoát
钢铁	gang thép
干活儿	làm việc
感激	cảm kích
赶紧	mau, nhanh lên
赶快	nhanh lên
感受	cảm nhận
感想	cảm nghĩ
搞	làm
告别	từ biệt, chia tay
高档	cao cấp
高速	tốc độ cao, cao tốc
隔壁	bên cạnh, hàng xóm sát vách
个别	cá biệt
胳膊	cánh tay
革命	cách mạng
根	rễ; cái (lượng từ vật dài)
根本	căn bản; hoàn toàn
更加	càng thêm
个人	cá nhân
格外	đặc biệt
个性	cá tính
各自	mỗi người, riêng từng
鸽子	bồ câu
公布	công bố
工厂	nhà máy
工程师	kỹ sư
功夫	kung fu; công phu
公开	công khai
功能	chức năng
公平	công bằng
工人	công nhân
贡献	cống hiến
工业	công nghiệp
公寓	căn hộ, chung cư
公元	Công nguyên
公主	công chúa
构成	cấu thành
沟通	giao tiếp, trao đổi
挂号	đăng ký khám; gửi bảo đảm
乖	ngoan
怪不得	thảo nào
拐弯	rẽ, ngoặt
官	quan chức
关闭	đóng cửa, tắt
观察	quan sát
观点	quan điểm
广场	quảng trường
广大	rộng lớn, đông đảo
广泛	rộng rãi
光滑	nhẵn, trơn bóng
光临	quang lâm, ghé thăm
光明	quang minh, tươi sáng
光盘	đĩa CD/DVD
光荣	vinh quang
关怀	quan tâm, chăm sóc
冠军	quán quân
观念	quan niệm
罐头	đồ hộp
管子	ống
古代	cổ đại
古典	cổ điển
固定	cố định
姑姑	cô (em gái bố)
规矩	quy củ, phép tắc
规律	quy luật
规模	quy mô
柜台	quầy
规则	quy tắc
古老	cổ xưa
滚	lăn; cút
姑娘	cô gái
锅	nồi, chảo
过分	quá đáng
国籍	quốc tịch
过敏	dị ứng
过期	quá hạn
国庆节	Quốc khánh
果实	quả, thành quả
股票	cổ phiếu
固体	chất rắn
骨头	xương
鼓舞	cổ vũ
雇佣	thuê mướn
哈	ha
海关	hải quan
海鲜	hải sản
喊	gọi to, hét
行业	ngành nghề
豪华	sang trọng
好奇	tò mò
吓	dọa, làm sợ	xià	to frighten; to scare
何必	hà tất, cần gì phải
合法	hợp pháp
何况	huống chi
合理	hợp lý
恨	hận, ghét
横	ngang
和平	hòa bình
合同	hợp đồng
核心	hạt nhân, cốt lõi
合影	chụp ảnh chung
合作	hợp tác
后果	hậu quả
壶	ấm, bình
滑冰	trượt băng
划船	chèo thuyền
怀念	nhớ, hoài niệm
皇帝	hoàng đế
黄瓜	dưa chuột
皇后	hoàng hậu
黄金	vàng
慌张	hoảng hốt
缓解	giảm bớt, làm dịu
幻想	ảo tưởng
花生	lạc, đậu phộng
话题	chủ đề, đề tài
化学	hóa học
华裔	người gốc Hoa
蝴蝶	bươm bướm
灰	tro; màu xám
挥	vẫy, vung
灰尘	bụi
恢复	khôi phục
汇率	tỷ giá hối đoái
灰心	nản lòng
婚礼	lễ cưới
婚姻	hôn nhân
伙伴	bạn bè, đối tác
火柴	diêm
活跃	sôi nổi, năng động
忽视	coi nhẹ, bỏ qua
胡说	nói bừa, nói nhảm
胡同	ngõ, hẻm
糊涂	hồ đồ, lẫn lộn
呼吸	hô hấp, thở
胡须	râu
嫁	gả, lấy chồng
甲	giáp (can thứ nhất); A
嘉宾	khách quý
捡	nhặt
煎	rán, chiên
肩膀	vai
剪刀	kéo
讲究	chú trọng, cầu kỳ
降落	hạ cánh
酱油	xì dầu, nước tương
讲座	buổi thuyết giảng
