# tatoeba id	bản dịch tiếng Việt
850603	Cô ấy hầu như chắc chắn sẽ qua kỳ kiểm tra.
850694	Sở thích của tôi là sưu tập đồ chơi cũ.
851430	Không, cảm ơn. Tôi no rồi.
851431	Chiều nay trời rất nóng.
851475	Cô ấy chơi violin rất hay.
851503	Tôi chịu không nổi sự vô liêm sỉ của anh ta.
851507	Cho tôi xem cái rẻ hơn đi.
851510	Tôi không kén chọn chuyện ăn uống.
851656	Bạn có thể mô tả hoàn cảnh lúc đó không?
851999	Cô ấy lau bụi đồ nội thất mỗi ngày.
852161	Cô ấy xác nhận anh ta là kẻ giết người.
852173	Chạy bộ tốt cho sức khỏe của bạn.
852179	Trước đây cô ấy thường xuyên đến thăm tôi.
852186	Tôi sẽ cố hết sức đáp ứng mong muốn của bạn.
852195	Cô ấy hy vọng trở thành nhà thiết kế.
855651	Hít thở sâu rồi nín thở.
855656	Sáng nay trời mát, phải không?
856397	Cho tôi xin bảng thời gian xe buýt được không?
856605	Bây giờ đang là mùa hoa anh đào.
857985	Xe đạp của tôi bị xẹp lốp.
857991	Dạo này Paul học rất chăm chỉ.
857994	Jane có một cuối tuần rất nhàm chán.
858185	Cô ấy không có cảm nhận thẩm mỹ.
858237	Sở thích của tôi là sưu tập chai cũ.
858494	Kẻ giết người đã thú nhận tội ác của mình.
858512	Thiệt hại lên tới hai triệu đô la.
858724	Tôi bị nhầm là nhân viên bán hàng.
858785	Chúng tôi phải dậy lúc bình minh.
858907	Cô ấy biết mẹ bạn rất rõ.
858924	Khắp nơi đều có nhà mới đang xây.
858947	Sếp tôi bắt tôi làm thêm giờ.
858953	Ngoài ra, người Trung Quốc thích ngủ trưa.
859024	Chính ở Bắc Kinh tôi đã học tiếng Trung.
859108	Anh ấy là phiên dịch viên ở ngân hàng quốc tế.
859192	Cô ấy thuê anh ấy làm lập trình viên.
859223	Tôi đi bộ được ba phần tư dặm.
859246	Jessie thúc con lừa con tiến về phía trước.
859258	Vui lòng đóng cửa lại khi ra.
860533	Em trai tôi là học sinh lớp một.
860703	Ví và hộ chiếu của tôi biến mất rồi.
860711	Cô ấy nấu cho chúng tôi một bữa ăn tuyệt vời.
860840	Tôi bị sốc vì tin tức hôm qua.
860959	Tôi làm việc cho một công ty dầu mỏ.
861016	Cô ấy giúp tôi đóng gói vali.
861062	Jay nhặt chiếc kéo cũ lên.
861074	Mike không tập bóng rổ vào thứ Hai.
861159	Giá cả phụ thuộc vào cung và cầu.
861346	Cô ấy trải ga lên giường của mình.
861375	Cô ấy mua hai pound bơ.
861428	Cô ấy rất bực khi bị gọi là kẻ hèn nhát.
861478	Tôi đang tìm công việc bán thời gian.
862457	"Bái sư không giỏi, chắc phiền não lắm nhỉ?" "Tôi cũng ngốc, nên không sao."
862610	Cô ấy đặt tôi vào những cuộc phiêu lưu nguy hiểm.
862664	Anh ấy bị đối xử rất tàn nhẫn.
862680	Tôi ước họ sẽ ngừng chiến đấu.
862740	Bố tôi phản đối cuộc hôn nhân của chúng tôi.
862875	Cô ấy đến thăm chồng trong tù.
862887	Tôi thất vọng với bài phát biểu của anh ấy.
862891	Jim mê say cô bạn gái của mình.
863317	Anh ta đành bỏ dở kế hoạch dù không muốn.
863328	Anh ấy suy đi nghĩ lại chuyện này mãi trong lòng.
863808	Cô ấy đắm chìm trong nhạc rock.
863954	Cô ấy thích bia hơn rượu vang.
864166	Nancy, có thư cho bạn đây.
864256	Cô ấy rót đầy rượu vào ly.
864272	Tôi muốn một quart sữa.
864292	Sở thích của tôi là làm mô hình máy bay.
864296	Bố mẹ tôi gửi cho tôi một tấm bưu thiếp.
864301	Cô ấy bắt anh ấy làm công việc đó.
864313	Tôi nhận ra giọng bạn ngay lập tức.
864316	Bố tôi là kỹ sư điện.
864383	New York nhộn nhịp với những tòa nhà chọc trời.
864386	Cô ấy được chôn cất ở quê hương.
864389	Cảnh sát giam giữ anh ấy.
864407	Bob không thể kiểm soát cơn tức giận.
864450	Bạn có thể tự mình di chuyển chiếc bàn này không?
864534	Anh ấy chắc chắn sẽ qua được kỳ thi.
864602	Anh ấy không hài lòng với mức lương hiện tại.
865435	Bạn có phải là chủ căn nhà này không?
865567	Thế giới thay đổi từng phút.
865581	Trên tàu có ghế đặt trước không?
866752	Cô ấy đặt đĩa bẩn vào bồn rửa.
866757	Cô ấy có một trái tim trong sáng.
867604	Sáng tạo bản thân nó đã thúc đẩy sáng tạo.
867608	Loại vấn đề này cần có giải pháp.
867898	Đôi mắt cô ấy đầy buồn bã.
867901	Đôi mắt cô ấy đầy nỗi buồn.
867908	Lúc thì tôi lạc quan, lúc thì bi quan.
867947	Con gái anh ấy có thể đọc thuộc lòng nhiều bài thơ.
868085	Cuốn sách này được học sinh yêu thích.
868280	Suối chảy vào ao này.
868340	Cáo là loài động vật hoang dã.
868345	Hôm nay tôi mua tổng cộng mười cuốn sách.
868397	Họ chuyển đến đây hai năm trước.
868431	Tôi có thể uống thêm một ly bia không?
868477	Họ không sợ công việc vất vả.
868485	Cô ấy thì thầm gì vào tai bạn vậy?
869858	Bản nhạc này tên là gì?
869862	Binh lính sẵn sàng chiến đấu.
869877	Bữa tiệc của Trang giống như buổi tưởng niệm.
869882	Khi nào bạn tập đàn piano?
869891	Tin tặc tìm ra những cách mới để xâm nhập mạng riêng tư hoặc công cộng.
869906	Dữ liệu này hoàn toàn không chính xác.
869908	Những bông hoa này có mùi thơm đặc trưng.
869943	Một ông già đang nghỉ ngơi dưới bóng cây.
869953	Tại sao bạn không nhảy cùng anh ấy?
870062	Cho tôi xem lại thực đơn được không?
870063	Đội của bạn mạnh hơn của chúng tôi.
870070	Bạn có bao giờ mơ về việc bay trên bầu trời không?
870139	Dự án đã thất bại hoàn toàn.
870159	Chúng tôi nhầm anh ấy là người Mỹ.
870181	Buổi biểu diễn tiếp theo lúc mấy giờ?
870390	Tom cảm ơn tôi vì món quà đó.
871086	Chúng tôi cố thỏa hiệp với họ.
871097	Tỷ giá hối đoái hôm nay là bao nhiêu?
871172	Trận đấu có thể bị hủy.
871209	Chúng tôi muốn thêm một chai rượu vang.
871223	Đáng lẽ bạn phải từ chối đề nghị của anh ấy.
872111	Bạn có biết cô Nakano bao nhiêu tuổi không?
872119	Có lẽ bạn biết tên anh ấy không?
872129	Cảnh sát đã bắt tên trộm.
872133	Tôi kinh ngạc trước lòng can đảm của anh ấy.
872147	Cụ già đó rất tốt bụng.
872149	Một đàn ong bắp cày tấn công bọn trẻ.
872156	Bạn nên làm theo lời khuyên của thầy giáo.
872160	Cái cúc thứ hai của bạn sắp rớt rồi.
872163	Cho tôi xin một cái gối và chăn được không?
872222	Chuyến tàu này sẽ xuất phát đúng giờ chứ?
872380	Vui lòng đưa hộ tôi bình tiêu.
872387	Ôi! Lâu quá không gặp rồi.
872401	Tên lửa được phóng vào không gian.
872405	Cảnh sát không tìm được manh mối nào.
872417	Bạn có đi xem triển lãm nghệ thuật không?
872422	Chúng tôi chơi bóng rổ trong phòng tập thể dục.
872434	Căn nhà này thuộc về chú tôi.
872442	Chúng tôi chọn John làm đội trưởng.
872477	Cảm ơn vì bữa tối tuyệt vời này.
872482	Bill lại đi học muộn như thường lệ.
872495	Máy bay của bạn cất cánh lúc mấy giờ?
873199	Máy bay bay qua ngọn núi.
873208	Bạn có tiền lẻ đổi một đô la không?
873228	Sữa này sẽ hỏng nếu để đến ngày mai.
873292	Cá heo là một loài động vật có vú.
873305	Bạn tăng cân rồi, phải không?
873308	Quy tắc nào cũng có ngoại lệ.
873443	Ở một số quốc gia, tội phản quốc có thể bị phạt tù chung thân.
873470	Có lẽ tôi có thể cho bạn bảy phút.
874180	Jim đôi khi bất đồng quan điểm với vợ.
874193	Màu đỏ, trái với màu xanh lá, là dấu hiệu nguy hiểm.
874224	Cuộc chiến kéo dài gần mười năm.
874290	Chúng tôi chưa quen biết nhau lâu.
874294	Ai cũng biết rằng cho đến giữa thế kỷ trước Nhật Bản là một quốc gia phong kiến.
874352	Bạn không thể dùng máy giặt này.
874359	Tòa nhà này cao bảy tầng.
874373	Chương trình đó đang được phát sóng.
874393	Nhà đối diện nhà bạn là của ai?
874430	Bộ phim này đáng xem lại lần nữa.
874488	Chiếc bàn này được thiết kế dành cho trẻ em.
874501	Kẻ thù tấn công chúng tôi vào ban đêm.
874700	Chúng tôi đã tham quan bảo tàng tuần trước.
874711	Họ thông báo có bão đang đến.
874731	Đáng lẽ bạn phải tham dự cuộc họp.
874733	Họ luôn đi trượt tuyết vào mùa đông.
874977	Anh ta giết anh ấy để trả thù cho cái chết của cha.
875041	Người lính cảnh giác trong bóng tối.
875084	Cái nào nặng hơn, chì hay vàng?
875096	Bạn phải đặt lịch hẹn trước.
875097	Carol học rất chăm. Henry cũng vậy.
875126	Chiếc xe vượt qua tôi.
875128	Chấp nhận là bài học đầu tiên của cuộc đời.
875259	Bữa ăn làm anh ấy no bụng.
875283	Trông anh ấy có vẻ hơi mệt, phải không?
875308	Vì có hoài bão nên anh ấy làm việc chăm chỉ.
875356	Anh ấy hỏi tôi có thích đồ ăn Trung Quốc không.
875395	Năm năm quá dài để chờ đợi.
875397	Anh ấy xoay xở để đến đó kịp giờ.
876188	Con đường ngoằn ngoèo leo lên sườn dốc đứng.
876341	Con đường uốn khúc leo lên sườn dốc.
876370	Anh ta cứ tưởng mình ghê gớm lắm.
876374	Trung Quốc và Mông Cổ được ngăn cách bởi Vạn Lý Trường Thành.
876558	Họ cách nhau một khoảng cách rất xa.
876567	Điều gì ngăn cách Quảng Đông và Quảng Tây?
876680	Loại thuốc này có tác dụng mạnh.
876696	Tôi được bà nội nuôi dưỡng.
876781	Tôi chắc em trai anh ấy còn rất nhỏ.
876932	Anh ấy bị thương trong một vụ tai nạn xe.
877598	Anh ấy bị trễ vì tuyết.
878771	Nhưng tôi hoàn toàn không thấy lạ.
879141	Anh ấy rất bận suốt tuần này.
879155	Anh ấy đưa cô ấy đi dạo bằng xe.
879168	Tôi cảm thấy đói sau chuyến đi bộ dài.
880399	Tôi đánh mất cây bút máy mới của mình.
880924	Tôi hy vọng đó không phải là trường hợp này.
881061	Tôi không muốn làm tổn thương cảm xúc của anh ấy.
881064	Tôi không biết cách đối xử với trẻ con.
881076	Mọi người đều hy vọng anh ấy được bầu làm thống đốc.
881080	Tôi không gặp bạn một lúc rồi.
881087	Năm ngoái tôi học một khóa nghệ thuật.
881109	Tôi chụp ảnh gia đình mình.
881232	Anh ấy ném một hòn đá xuống ao.
881251	Tôi không hiểu bất cứ điều gì anh ấy nói.
881266	Bữa tiệc sinh nhật cô ấy sẽ diễn ra tối mai.
881298	Anh ấy ngồi vắt chân chữ ngũ.
881519	Visa này có hiệu lực bao lâu?
881727	Những tuyên bố này không có cơ sở khoa học.
881739	Anh ấy cố gắng thống nhất các nhóm khác nhau.
881759	Tôi vểnh tai lắng nghe.
881841	Bây giờ bố đã có vị trí cấp trên trong văn phòng.
881851	Sự thật không cần nhiều lời lẽ.
881865	Anh ấy dùng ô của mình làm vũ khí.
881908	Tôi hòa thuận với em trai mình.
882028	Dãy Alps trải dài qua tám quốc gia châu Âu.
883034	Tôi không chịu được loại chính trị gia đó.
883035	Anh ấy sẵn sàng làm việc cho người khác.
883278	Anh ấy muốn trở thành vận động viên tennis.
883292	Tôi cố lắng nghe anh ấy cẩn thận.
883298	Đừng ở ngoài nắng quá lâu.
883299	Tôi thường đi xe đạp đến trường.
883492	Tôi phải tìm một công việc bán thời gian.
884169	Anh ấy bị ốm từ tối qua.
884181	Tôi cảm thấy danh dự của mình bị đe dọa.
884214	Những từ bổ nghĩa cho danh từ (tính từ hoặc tương đương).
884232	Cô ấy đẹp như Bạch Tuyết.
884584	Họ đã phá một phần bức tường.
884600	Anh ấy lặng lẽ nhìn tôi.
884654	Tôi muốn tự hoàn thành công việc.
884682	Mỗi ngày đều là một ngày thiêng liêng.
884691	Xin vui lòng nhận lời chúc mừng chân thành nhất của tôi cho thành công hôm nay của bạn.
884702	Pháp thuật đóng vai trò quan trọng trong xã hội nguyên thủy.
884871	Anh ấy đủ tuổi để hiểu điều đó.
885364	Đây là tháng Sáu khô hạn nhất trong ba mươi năm qua.
885373	Chúng ta biết rằng mọi người đều phải chết.
885380	Tôi quen một người tên Smith.
885410	Anh ấy thường chở tôi đi chơi.
885538	Anh ấy đập ghế ra làm củi.
885823	Đứa trẻ này có triệu chứng thủy đậu.
886140	Cảnh sát sẽ sớm đến hiện trường.
886528	Anh ấy tự ảo tưởng mình là thiên tài.
886591	Những bông hoa này cần được che gió mưa.
886595	Trời mưa cả ngày lúc có lúc không.
886602	Hành động nói to hơn lời nói.
887677	Anh ấy có nhiều ý kiến độc đáo.
887709	Anh ấy ra hiệu cho chúng tôi bắt đầu.
887781	Anh ấy mệt nhưng vẫn tiếp tục làm việc.
887805	Tôi bị kẹt xe.
887810	Tôi không thích cách anh ấy nói chuyện.
887853	Nghe có vẻ như tôi đang yêu nhỉ?
887881	Anh ấy sẽ không tiếp tục học cao học.
887890	Tôi đồng ý với ý kiến của bạn về thuế.
887902	Nhanh lên không sẽ lỡ xe buýt.
888049	Tôi mong anh ấy sẽ giúp đỡ một chút.
888422	Ý kiến này có thể đúng.
889107	Anh ấy được chú nuôi dưỡng.
889114	Anh ấy đồng ý giúp bà cụ.
889119	Anh ấy kẹp một gói hàng dưới nách.
889138	Tôi muốn hít thở không khí trong lành.
889148	Tôi mong được gặp lại bạn lần sau.
889160	Tôi gây ra nhiều phiền toái cho anh ấy.
889169	Tôi không muốn làm bất cứ điều gì mạo hiểm.
889180	Câu hỏi của anh ấy khiến tôi rất bối rối.
889181	Anh ấy bị buộc phải ký vào văn bản.
889183	Tôi nghĩ tốt nhất là nên im lặng.
889215	Anh tôi thường thức khuya đọc tiểu thuyết.
889251	Thời Edo, tiệc ngắm trăng rất được ưa chuộng.
889319	Ruồi và muỗi làm phiền khi anh ấy thiền định.
889355	Đầu anh ấy đập vào một tảng đá.
889576	Anh ấy học rất tốt ở trường.
889631	Lời cô ấy nói khiến tôi cảm thấy xấu hổ.
890484	Để tôi giới thiệu mẹ tôi với bạn.
890514	Vợ tôi vừa dọn bàn xong.
890599	Paul chải tay qua mái tóc.
890612	Bạn không cần phải làm việc vất vả như vậy.
890622	Hãy đảm bảo bạn nghỉ ngơi đầy đủ.
890947	Xin hãy để ý đến vali của tôi.
890971	Laura rất kỹ tính về quần áo.
891016	Bố tôi tắm trước bữa tối.
891034	Cô ấy treo rèm lên cửa sổ.
891056	Mike là người nhỏ tuổi nhất trong gia đình.
891065	Tôi sợ cô ấy có thể bị quai bị.
891138	Chúng ta gặp nhau trước rạp hát nhé.
891171	Mộc tu nhục là món tôi giỏi nhất.
891322	Ken có vẻ là người thân thiện.
891328	Cô ấy nuôi một con vẹt làm thú cưng.
891742	Tôi thà đi bộ còn hơn đi xe buýt.
891953	Sữa đã hỏng rồi.
891967	Jessie đang đun nước sôi để pha cà phê.
891983	Tôi không chắc ngày chính xác.
892443	Trượt băng là một trong những sở thích của tôi.
892452	Cửa hàng của anh ấy luôn đông khách.
892456	Anh ấy trách tôi cẩu thả.
892469	Xe tải này vận chuyển thực phẩm tươi từ Aomori đến Tokyo.
892494	Đây là chủ đề đáng thảo luận.
893018	Họ thậm chí không biết tại sao.
893036	Cô ấy chơi một bản nhạc trên đàn piano.
893175	Bây giờ tôi có thể đến thăm bạn không?
893322	Ước gì tôi có thể mua một chiếc xe máy.
893343	Cô ấy giúp tôi dọn sạch tuyết.
893353	Tôi không muốn đến đó một mình.
893359	Ngọn núi lửa lại bắt đầu hoạt động.
893368	Tôi có thể trả bằng séc du lịch không?
893501	Tôi phản đối mọi hình thức chiến tranh.
893510	Mike đã đi kiểm tra răng tuần trước.
893998	Có cơ hội nào để anh ấy hồi phục không?
894000	Ước gì bạn đã nói với tôi điều đó.
894001	Cô ấy treo lịch lên tường.
894062	Cô ấy vội vàng dọn dẹp phòng.
894135	Cá voi được biết đến là loài thú lớn nhất.
894221	Gần đến giờ đi ngủ rồi.
894233	Một trong những đứa trẻ để cửa mở.
894235	John và Mary chia tay tuần trước.
894283	Cô ấy đập nắm đấm xuống bàn.
894289	Kenji nói tiếng Anh rất tốt.
894328	Thật tiếc vì bạn không thể đến.
894350	Chỉ vào người khác là bất lịch sự.
894378	Giữ tiền ở nơi an toàn.
894382	Đặt sách lại chỗ cũ.
894384	Cô ấy vội chạy về nhà với tin vui.
894425	Tôi đang tìm phòng cho thuê.
894427	Ước gì bạn đã có mặt ở đó.
894433	Ken có vẻ bị cảm lạnh nặng.
894434	Tôi thấy sói ở dãy Apennines.
894945	Tôi tiếc vì bạn sắp rời đây.
895057	Cô ấy cho chúng tôi biết đường bị đóng cửa.
895132	Cuối cùng chúng tôi cũng đến kịp giờ.
895139	Con đường này quá hẹp cho xe ô tô.
895159	Phụ nữ thường sống lâu hơn nam giới.
895163	Bây giờ là mấy giờ theo giờ địa phương Tokyo?
895592	Cảnh sát bắt anh ta vì lái xe say rượu.
895599	Tắt ti vi đi. Tôi không thể tập trung.
895602	Người đàn ông bị cảnh sát giam giữ.
895630	Những bông hồng trong vườn đang nở.
895647	Chúng tôi đi du lịch với ngân sách eo hẹp.
895652	Chúng tôi đi du lịch tiết kiệm.
895715	Đây là chữ giản thể.
895729	Chúng tôi gặp nhau trước trường.
895732	Bạn nên lái xe với tốc độ an toàn.
895773	Số tiền đó đủ để trang trải chi phí.
896374	Bạn nên uống nhiều nước.
896381	Bạn không thể xây nhà trên đất lầy.
896647	Dùng tẩy xóa những chữ này đi.
896674	Bạn có tham gia buổi lễ không?
897263	Giáo viên tập hợp học sinh trong hội trường.
897272	Cái gì học từ nôi sẽ mang đến mồ.
897292	Tất cả sữa đã đổ hết.
897470	Ba lũy thừa ba bằng hai mươi bảy.
898922	Meg mua một hộp cà chua.
899106	Sở thích của tôi không chỉ phong phú mà còn hữu ích.
899126	Tôi thường đọc blog tiếng Anh và tiếng Trung trên mạng.
899333	Đây là chữ phồn thể.
899514	Năm nay ít tuyết hơn thường lệ.
899608	Một số tài xế vừa cười vừa hét.
899615	Mỗi người đều có thế mạnh riêng.
899980	Trường học cách nhà tôi năm cây số.
899994	Than và khí tự nhiên là nhiên liệu tự nhiên.
900007	Tang lễ của Tom sẽ tổ chức vào cuối tuần này.
900250	Bầu trời hầu như trong xanh mỗi ngày.
900255	Thuốc này không có tác dụng gì với tôi.
900352	Ông cụ đi bộ với cây gậy.
900538	Lịch sử Trung Quốc lâu đời hơn Nhật Bản.
900677	Chúng tôi kỳ vọng vụ mùa bội thu năm nay.
900682	Bạn có phiền nếu tôi di chuyển xe bạn không?
900685	Chúng tôi nói chuyện đến hai giờ sáng.
900762	Tôi trả lại hết thành ngữ cho thầy giáo rồi.
901952	Chính phủ Nhật Bản không thể xử lý vấn đề.
902030	Thư ký của anh ấy có vẻ biết sự thật.
902811	Nói gọn lại, cuộc sống rất ngắn.
902934	Dầu mỏ trên thế giới sắp cạn kiệt.
902949	Tế bào ung thư đã lan đến dạ dày cô ấy.
902969	Giá này không bao gồm cái hộp.
903043	Quầy làm thủ tục của United Airlines ở đâu?
903164	Môn giỏi nhất của anh ấy là toán.
903626	Gần đây có một căn cứ quân sự.
903634	Họ trông như sắp khóc.
903645	Bạn có thể giữ cái này cho mình.
903772	Chúng đang đứng trước nguy cơ tuyệt chủng.
903778	Hành vi của anh ta mâu thuẫn với niềm tin của anh ta.
904863	Mọi người đều ngưỡng mộ lòng dũng cảm của anh ấy.
905090	Con thuyền sẽ rời bến đến Anh vào chiều nay.
905816	Tin anh ấy qua đời lan ra khắp nơi.
905839	Chiếc hộp này nặng quá không mang được.
905895	Cái này xấp xỉ bằng cái kia.
905985	Chúng ta không cần tham dự cuộc họp đó.
907215	Xung quanh căn nhà có hàng rào.
907217	Tại sao họ bác bỏ đề nghị của bạn?
907248	Mái nhà bị bão làm hư hỏng.
907323	Đây là cửa hàng rẻ nhất trong thị trấn.
907339	Chúng tôi đến văn phòng đúng giờ.
907489	Bạn đã làm gì với kính của tôi vậy?
907508	Lũ lụt gây ra nhiều thiệt hại lớn.
907544	Thời tiết năm nay liên tục bất thường.
907546	Bạn có một tin nhắn khẩn cấp.
908306	Đôi khi cô ấy có tâm trạng u sầu.
908342	Bạn trễ tiền thuê nhà một tháng rồi.
908343	Vì có tham vọng, anh ấy làm việc chăm chỉ.
908527	Chúng tôi đưa ra lời kêu gọi hỗ trợ.
908533	Tôi viết tóm tắt cho một cuốn sách.
909453	Anh ấy phát biểu bằng tiếng Anh đơn giản.
909864	Anh ấy đã vào được đội bóng chày.
912637	Lập luận của anh ấy rất hợp lý.
915630	Vì vậy, tình bạn cũng là điều kiện để có hạnh phúc.
916598	Sinh nhật Hoàng đế nhằm vào Chủ nhật.
917819	Ai cũng có chiêu trò riêng, mỗi người có cách khéo léo khác nhau.
918020	Họ chôn cất anh ấy ở nghĩa trang bên nhà thờ.
918041	Tôi không đủ tiền chơi tennis.
918099	Hành động của bạn đã xúc phạm danh dự của anh ấy.
918428	Học sinh ngưỡng mộ giáo viên tiếng Anh mới.
918456	Bạn đã bao giờ thấy mưa đá chưa?
918514	Cà phê không thu hút sự quan tâm của tôi.
918539	Nhiều vệ tinh quay quanh Sao Thổ.
918540	Ánh trăng đang chiếu sáng.
918659	Tôi có thể làm được mà không cần sự giúp đỡ của cô ấy.
918661	Tôi có thể làm được mà không cần sự giúp đỡ của bạn.
918665	Trí tưởng tượng là gốc rễ của mọi nền văn minh.
919632	Mở rộng tâm trí bạn ra.
919639	Tôi bước vào phòng và bắt tay anh ấy.
919661	Tôi tự cổ vũ mình bằng cách nghe nhạc.
919667	Xin lỗi, chuyến bay đã hết chỗ.
919693	Anh ấy định xem xét lại vụ án từ đầu.
919731	Tôi có thể giới thiệu cuốn sách này cho bạn.
919857	Trời ban cho tôi sức khỏe tốt.
919858	Tôi may mắn có sức khỏe tốt.
919865	Cảnh sát sẽ bỏ tù bạn.
919890	Góc độ sẽ quá hẹp.
919907	Quảng cáo thúc giục chúng ta mua hàng xa xỉ.
919942	George bị lừa mua mảnh đất đó.
920112	Tôi đã hủy đặt phòng khách sạn.
920115	Tôi muốn đến bảo tàng nghệ thuật hơn là rạp chiếu phim.
920833	Thời trang không phải sở trường của tôi.
922365	Anh ấy luôn bị bắt nạt ở trường.
925668	Câu đảo ngữ yêu thích của bạn là gì?
926808	Tôi hài lòng với công việc của anh ấy.
926842	Tôi đã hỏi anh ấy nhiều câu hỏi về sinh thái học.
931053	Bố tôi quan tâm đến lịch sử cổ đại.
933954	Đừng coi thường đối thủ.
933957	Tôi có một cuốn sách về câu cá.
934179	Tôi bảo quản bản gốc cẩn thận.
934188	Chìa khóa két sắt ở chỗ tôi.
934197	Hệ mặt trời là một hệ thiên thể nhỏ trong Dải Ngân hà.
934497	Cô ấy là người phụ nữ có tính cách mạnh mẽ.
937642	Bạn có nhớ sinh nhật của bố bạn không?
938274	Công đoàn có tham gia cuộc biểu tình không?
939899	Người này là nô lệ của bạn, phải không?
939913	Khách hàng bắt đầu đến rồi.
941094	Tôi dự đoán sẽ có rắc rối.
941159	Tôi không khỏi ngưỡng mộ tài năng của anh ấy.
941385	Anh ta thật kém may mắn.
941710	Cuộc săn phù thủy đã bắt đầu.
943182	Ngựa, sư tử, chó, dê: đây là những loài động vật.
948002	Bạn dùng trình duyệt gì?
948006	Trình duyệt web yêu thích của bạn là gì?
955378	Các thành viên bộ lạc định cư dọc theo bờ sông.
955381	Cảnh sát đã bắt tên trộm.
956003	Tôi đề nghị chúng ta kết thúc cuộc họp.
958213	Mẹ tôi từ Malaysia cho rằng ba con ngựa đó chỉ ở mức bình thường.
970191	Bạn không nên đùa giỡn với cảm xúc của anh ấy.
993751	Trẻ nhỏ thường rất hứng thú với khoa học.
996461	Không có gì xúc phạm cuộc sống hơn là bệnh xuất tinh sớm.
1015627	Dù bạn có tin hay không, tôi vẫn tin.
1016606	Đó là lý do anh ấy thất bại.
1019879	Tổng của 5 và 3 là 8.
1019938	Cơ thể đứa trẻ này sốt cao.
1019959	Cô ấy không bao giờ mặc quần áo màu xanh lá.
1020163	Bạn có thể giúp tôi tìm chìa khóa không?
1020174	Anh tôi hơn tôi hai tuổi nhưng lại thấp hơn tôi ba xăng-ti-mét.
1020686	Cô ấy mò mẫm trong bóng tối tìm công tắc đèn.
1021011	Anh ấy nói mười phút không nghỉ.
1036570	Thêm chú thích làm code dễ đọc hơn.
1045387	Hãy kể cho tôi nghe về kế hoạch tương lai của bạn.
1047372	Chỉ có một cửa hàng bán cuốn sách này.
1058170	Món này rất hợp khẩu vị.
1059461	Bạn không thể nói từ tục tĩu trên ti vi.
1064524	Anh ấy quay một bộ phim tài liệu và tặng cho tôi.
1066665	Trong tiếng Pháp, chủ ngữ hiếm khi bị bỏ qua.
1067176	Anh ấy chắc chắn sẽ đạt được mục tiêu.
1067293	Tôi quen với việc làm việc chăm chỉ.
1069132	Nếu giàu, tôi sẽ đi du lịch nhiều hơn.
1069784	Năm nay Tết Trung thu có phải là thứ Hai không?
1073081	Tôi nghĩ chúng ta cần hộp đựng đồ thừa.
1074525	Bố ra hiệu cho tôi rời khỏi phòng.
1082812	Tìm được người đàn ông tốt còn khó hơn trúng xổ số.
