# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
隔离	cách ly
假使	giả sử
家属	người nhà
佳肴	món ngon
家喻户晓	nhà nhà đều biết
夹杂	xen lẫn
即便	cho dù
级别	cấp bậc
疾病	bệnh tật
继承	kế thừa
基地	căn cứ
机动	cơ động
嫉妒	đố kỵ
季度	quý (3 tháng)
极端	cực đoan
皆	đều
饥饿	đói
戒备	đề phòng
阶层	tầng lớp
杰出	kiệt xuất
解除	giải trừ, hủy bỏ
揭发	tố giác
解雇	sa thải
借鉴	tham khảo, học hỏi
结晶	kết tinh
竭尽全力	dốc toàn lực
结局	kết cục
接连	liên tiếp
揭露	vạch trần
解剖	giải phẫu
解散	giải tán
结算	kết toán
解体	tan rã
界限	giới hạn, ranh giới
截至	tính đến
借助	nhờ vào
节奏	nhịp điệu
激发	khơi dậy
急功近利	hám lợi trước mắt
机构	cơ quan, tổ chức
籍贯	nguyên quán
机关	cơ quan
忌讳	kiêng kỵ
即将	sắp
计较	so đo, tính toán
基金	quỹ
寂静	tĩnh mịch
急剧	đột ngột, mạnh
季军	giải ba
激励	khích lệ
机灵	lanh lợi
机密	cơ mật
技能	kỹ năng
进而	rồi từ đó
井	giếng
茎	thân (cây)
精打细算	tính toán kỹ lưỡng
惊动	làm kinh động
经费	kinh phí
警告	cảnh cáo
精华	tinh hoa
精简	tinh giản
境界	cảnh giới
兢兢业业	cần mẫn tận tụy
敬礼	chào (kiểu nhà binh)
精密	tinh vi, chính xác
进攻	tấn công
惊奇	kinh ngạc
精确	chính xác
竞赛	thi đua, cuộc thi
经商	kinh doanh
警惕	cảnh giác
精通	tinh thông
镜头	ống kính; cảnh quay
经纬	kinh vĩ
精心	tỉ mỉ, dụng tâm
竞选	tranh cử
惊讶	kinh ngạc
精益求精	tinh ích cầu tinh
精致	tinh xảo
颈椎	đốt sống cổ
进化	tiến hóa
津津有味	say sưa, thích thú
尽快	nhanh nhất có thể
近来	gần đây
紧密	chặt chẽ
浸泡	ngâm
紧迫	cấp bách
金融	tài chính, tiền tệ
晋升	thăng chức
近视	cận thị
劲头	hăng hái, khí thế
锦绣前程	tiền đồ tươi sáng
进展	tiến triển
技巧	kỹ xảo
急切	nóng lòng
激情	nhiệt huyết, đam mê
集团	tập đoàn
寄托	gửi gắm
纠纷	tranh chấp
救济	cứu tế
就近	gần đó
酒精	cồn
就业	có việc làm
纠正	sửa chữa, uốn nắn
就职	nhậm chức
继往开来	kế thừa và mở ra tương lai
极限	cực hạn
吉祥	cát tường
迹象	dấu hiệu
讥笑	chế giễu
机械	máy móc, cơ khí
记性	trí nhớ
纪要	biên bản tóm tắt
基因	gen
给予	ban cho, dành cho
机遇	cơ hội
急于求成	nóng vội muốn thành công
记载	ghi chép
急躁	nóng nảy
及早	sớm
机智	cơ trí, nhanh trí
剧本	kịch bản
局部	cục bộ
举动	hành động, cử chỉ
决策	quyết sách
绝望	tuyệt vọng
觉悟	giác ngộ
觉醒	thức tỉnh
鞠躬	cúi chào
聚精会神	tập trung tinh thần
咀嚼	nhai
剧烈	kịch liệt, dữ dội
拘留	tạm giam
局面	cục diện
军队	quân đội
沮丧	chán nản
局势	tình hình, cục thế
举世闻名	nổi tiếng thế giới
举世瞩目	cả thế giới chú ý
拘束	gò bó, câu nệ
据悉	theo tin được biết
局限	hạn chế, giới hạn
居住	cư trú
举足轻重	có vai trò quyết định
开采	khai thác
开除	khai trừ, đuổi
开阔	rộng mở
开朗	cởi mở, lạc quan
开明	khai sáng, cởi mở
开辟	mở ra, khai phá
开水	nước sôi
开拓	khai thác, mở mang
开展	triển khai
开支	chi tiêu
看待	nhìn nhận, đối xử
刊登	đăng (báo)
扛	vác
慷慨	hào phóng
勘探	thăm dò
看望	thăm
刊物	ấn phẩm
考察	khảo sát
考古	khảo cổ
考核	sát hạch, đánh giá
靠拢	xích lại gần
考验	thử thách
卡通	hoạt hình
磕	đập, va
刻不容缓	không thể chậm trễ
可观	đáng kể
客户	khách hàng
可口	ngon miệng
颗粒	hạt
科目	môn học
啃	gặm
坑	hố
恳切	tha thiết
课题	đề tài
渴望	khao khát
可恶	đáng ghét
可笑	buồn cười
可行	khả thi
孔	lỗ
空白	chỗ trống
空洞	trống rỗng
恐吓	đe dọa
恐惧	sợ hãi
空前绝后	vô tiền khoáng hậu
空隙	khe hở
空想	viển vông, ảo tưởng
空虚	trống rỗng
口气	giọng điệu
口腔	khoang miệng
口头	bằng miệng
口音	giọng nói, khẩu âm
挎	đeo (túi)
跨	bước qua, vượt qua
快活	vui vẻ
宽敞	rộng rãi
款待	tiếp đãi
筐	sọt
框架	khung
旷课	trốn học
况且	huống hồ
款式	kiểu dáng
亏待	bạc đãi
亏损	thua lỗ
枯竭	cạn kiệt
苦尽甘来	khổ tận cam lai
捆绑	trói buộc
昆虫	côn trùng
扩充	mở rộng
扩散	khuếch tán
扩张	bành trướng
枯燥	khô khan
啦	(trợ từ) rồi, đấy
喇叭	loa, kèn
来历	lai lịch
来源	nguồn gốc
懒惰	lười biếng
狼狈	lúng túng, thảm hại
朗读	đọc to
栏目	chuyên mục
捞	vớt
唠叨	cằn nhằn, lải nhải
牢固	chắc chắn
牢骚	bất mãn, phàn nàn
雷达	ra-đa
类似	tương tự
愣	ngẩn ra
冷淡	lạnh nhạt
冷酷	lạnh lùng, tàn nhẫn
冷却	làm nguội
乐趣	niềm vui
乐意	sẵn lòng
晾	phơi
谅解	thông cảm
良心	lương tâm
联欢	liên hoan
廉洁	liêm khiết
联络	liên lạc
联盟	liên minh
连年	liên tiếp nhiều năm
连锁	chuỗi, dây chuyền
连同	cùng với
联想	liên tưởng
辽阔	bao la
理睬	để ý, đoái hoài
立场	lập trường
里程碑	cột mốc
历代	các triều đại
列举	liệt kê
利害	lợi hại
立交桥	cầu vượt
礼节	lễ tiết
历来	xưa nay
利率	lãi suất
黎明	bình minh
淋	dội, ướt
临床	lâm sàng
凌晨	rạng sáng
灵感	cảm hứng
领会	lĩnh hội
灵魂	linh hồn
伶俐	lanh lợi
灵敏	nhạy bén
领事馆	lãnh sự quán
领土	lãnh thổ
领悟	lĩnh ngộ
领先	dẫn đầu
零星	lẻ tẻ
领袖	lãnh tụ
吝啬	keo kiệt
理所当然	lẽ đương nhiên
力所能及	trong khả năng
立体	lập thể, 3D
力图	cố gắng
溜	chuồn, lẻn
流浪	lang thang
留恋	lưu luyến
流露	bộc lộ
流氓	lưu manh
留念	lưu niệm
留神	cẩn thận
流通	lưu thông
例外	ngoại lệ
力争	cố gắng giành
理智	lý trí
理直气壮	đường hoàng, tự tin
立足	đứng vững
垄断	lũng đoạn, độc quyền
聋哑	câm điếc
笼罩	bao trùm
隆重	long trọng
搂	ôm
掠夺	cướp đoạt	lüèduó
略微	hơi, một chút	lüèwēi
屡次	nhiều lần
轮船	tàu thủy
轮廓	đường nét, phác thảo
轮胎	lốp xe
论坛	diễn đàn
论证	luận chứng
落成	khánh thành
落实	thực hiện, thực thi
螺丝钉	ốc vít
啰唆	dài dòng, lắm lời
络绎不绝	nườm nượp không dứt
履行	thực hiện (nghĩa vụ)
炉灶	bếp lò
嘛	mà (trợ từ)
麻痹	tê liệt; lơ là
迈	bước
脉搏	mạch đập
埋伏	mai phục
埋没	chôn vùi
埋葬	chôn cất
麻木	tê dại, vô cảm
漫长	dài đằng đẵng
忙碌	bận rộn
茫茫	mênh mông
盲目	mù quáng
茫然	ngơ ngác
漫画	truyện tranh
慢性	mãn tính
蔓延	lan tràn
埋怨	oán trách
冒充	mạo danh
茂盛	tươi tốt
码头	bến tàu
麻醉	gây mê
枚	chiếc, tấm (lượng từ)
美观	đẹp mắt
媒介	môi giới, phương tiện
美满	mỹ mãn
美妙	tuyệt vời
媒体	truyền thông
没辙	hết cách
蒙	che; lừa; chịu
猛烈	mãnh liệt
梦想	ước mơ
萌芽	nảy mầm
门诊	khám ngoại trú
眯	nheo mắt
免得	để khỏi
勉励	khích lệ
面貌	diện mạo
勉强	miễn cưỡng
免疫	miễn dịch
面子	thể diện
描绘	miêu tả
渺小	nhỏ bé
弥补	bù đắp
密度	mật độ
蔑视	khinh miệt
灭亡	diệt vong
密封	niêm phong, đóng kín
迷惑	mê hoặc, bối rối
弥漫	lan tỏa
敏感	nhạy cảm
名次	thứ hạng
名额	chỉ tiêu, suất
名副其实	danh xứng với thực
明明	rõ ràng
命名	đặt tên
名誉	danh dự
民间	dân gian
敏捷	nhanh nhẹn
敏锐	nhạy bén
民用	dân dụng
迷人	quyến rũ
迷失	lạc lối
迷信	mê tín
膜	màng
摩擦	ma sát
模范	gương mẫu
魔鬼	ma quỷ
磨合	mài dũa cho hợp
莫名其妙	khó hiểu, vô lý
默默	lặng lẽ
抹杀	xóa bỏ, phủ nhận
模式	mô thức, mô hình
魔术	ảo thuật
墨水儿	mực
摸索	mò mẫm
谋求	mưu cầu
模型	mô hình
目睹	tận mắt thấy
目光	ánh mắt
模样	dáng vẻ
沐浴	tắm gội
母语	tiếng mẹ đẻ
耐用	bền
纳闷儿	thắc mắc, khó hiểu
难得	hiếm có
难堪	khó xử, xấu hổ
难免	khó tránh
难能可贵	đáng quý
恼火	bực bội
拿手	sở trường
内涵	nội hàm
内幕	nội tình
内在	nội tại
能量	năng lượng
年度	niên độ, năm
拟定	dự thảo
捏	nặn, véo
拧	vặn
凝固	đông cứng
凝聚	ngưng tụ, hội tụ
宁肯	thà rằng
凝视	nhìn chăm chú
宁愿	thà
纽扣儿	cúc áo
扭转	xoay chuyển
浓厚	đậm đà, nồng hậu
农历	âm lịch
虐待	ngược đãi	nüèdài
奴隶	nô lệ
挪	dịch chuyển
哦	ồ
殴打	đánh đập
呕吐	nôn mửa
欧洲	châu Âu	Ōuzhōu
趴	nằm sấp
派别	phái, phe
排斥	bài xích
排除	loại trừ
排放	thải ra
徘徊	bồi hồi, lưỡng lự
派遣	phái đi
畔	bờ, bên
攀登	leo trèo
庞大	khổng lồ
判决	phán quyết
盘旋	lượn vòng
泡沫	bọt, bong bóng
抛弃	vứt bỏ
配备	trang bị
配偶	vợ/chồng
配套	đồng bộ
培训	đào tạo
培育	bồi dưỡng, nuôi trồng
盆地	bồn địa
捧	bưng, nâng
烹饪	nấu nướng
劈	bổ, chẻ
偏差	sai lệch
片断	đoạn, mảnh
偏见	thành kiến
片刻	chốc lát
偏僻	hẻo lánh
偏偏	lại cứ, khăng khăng
漂浮	trôi nổi
飘扬	tung bay
疲惫	mệt mỏi
批发	bán buôn
皮革	da thuộc
屁股	mông
疲倦	mệt mỏi
拼搏	nỗ lực hết mình
品尝	thưởng thức
品德	phẩm đức
贫乏	nghèo nàn
频繁	thường xuyên
平凡	bình thường
评估	đánh giá
评论	bình luận
平面	mặt phẳng
平坦	bằng phẳng
平行	song song
平原	đồng bằng
屏障	rào chắn
贫困	nghèo khó
频率	tần suất
拼命	liều mạng
品行	phẩm hạnh
品质	phẩm chất
批判	phê phán
譬如	ví như
坡	dốc
颇	khá
泼	hắt, té (nước)
迫不及待	không thể chờ đợi
迫害	bức hại
破例	phá lệ
魄力	khí phách
铺	cửa hàng; trải
扑	lao vào
瀑布	thác nước
普及	phổ cập
朴实	mộc mạc
掐	véo, ngắt
恰当	thích đáng
恰到好处	vừa vặn
牵扯	dính líu
签订	ký kết
千方百计	trăm phương nghìn kế
抢劫	cướp
抢救	cấp cứu
强迫	cưỡng ép
强制	cưỡng chế
前景	viễn cảnh
迁就	nhân nhượng
潜力	tiềm lực
签署	ký
潜水	lặn
前提	tiền đề
迁徙	di cư
谦逊	khiêm tốn
潜移默化	ảnh hưởng ngấm ngầm
谴责	lên án
牵制	kiềm chế
翘	vênh, cong lên
桥梁	cầu nối
恰巧	tình cờ
洽谈	đàm phán
器材	thiết bị
起草	soạn thảo
启程	lên đường
起初	ban đầu
锲而不舍	kiên trì không bỏ
切实	thiết thực
起伏	lên xuống, thăng trầm
欺负	bắt nạt
气概	khí khái
乞丐	ăn mày
气功	khí công
器官	cơ quan (nội tạng)
起哄	gây rối, la ó
迄今为止	tính đến nay
凄凉	thê lương
起码	ít nhất
奇妙	kỳ diệu
侵犯	xâm phạm
氢	hy-đrô
情报	tình báo, thông tin
清澈	trong vắt
清晨	sáng sớm
清除	dọn sạch, loại bỏ
轻而易举	dễ như trở bàn tay
请柬	thiệp mời
请教	thỉnh giáo
情节	tình tiết
清洁	sạch sẽ
晴朗	quang đãng
情理	lẽ thường
