# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
清理	dọn dẹp, thanh lý
石油	dầu mỏ
施展	thi thố, phát huy
实质	thực chất
时装	thời trang
失踪	mất tích
十足	mười phần, đầy đủ
收藏	sưu tầm
手法	thủ pháp
守护	bảo vệ, canh giữ
手势	cử chỉ tay
收缩	co lại
首要	quan trọng hàng đầu
手艺	tay nghề
收益	lợi nhuận
收音机	ra-đi-ô
授予	trao tặng
受罪	chịu khổ
束	bó
竖	dựng đứng
数	đếm	shǔ	to count
耍	đùa, giở trò
衰老	già yếu
率领	dẫn dắt
衰退	suy thoái
涮	nhúng (lẩu)
双胞胎	sinh đôi
爽快	sảng khoái, thẳng thắn
舒畅	khoan khoái
数额	số tiền, số lượng
书法	thư pháp
束缚	trói buộc
疏忽	sơ suất
水利	thủy lợi
水龙头	vòi nước
水泥	xi măng
书记	bí thư
书籍	sách vở
树立	xây dựng, dựng lên
书面	bằng văn bản
数目	số lượng
司法	tư pháp
司令	tư lệnh
思念	nhớ nhung
思索	suy nghĩ
死亡	tử vong
思维	tư duy
斯文	nho nhã
肆无忌惮	ngang nhiên không kiêng nể
思绪	dòng suy nghĩ
饲养	chăn nuôi
四肢	tứ chi
私自	tự ý, riêng tư
耸	nhún (vai); sừng sững
艘	chiếc (tàu)
搜索	tìm kiếm
算了	thôi vậy
算数	tính; giữ lời
俗话	tục ngữ
隧道	đường hầm
随即	ngay sau đó
随身	mang theo người
随手	tiện tay
随意	tùy ý
岁月	năm tháng
损坏	hư hỏng
索赔	đòi bồi thường
索性	dứt khoát, đơn giản là
素食	đồ chay
诉讼	tố tụng
苏醒	tỉnh lại
塑造	tạo hình, xây dựng (hình tượng)
素质	tố chất
塌	sập
泰斗	bậc thầy
台风	bão
太空	vũ trụ, không gian
坦白	thẳng thắn, thú nhận
探测	thăm dò
糖葫芦	kẹo hồ lô
倘若	nếu như
瘫痪	tê liệt
贪婪	tham lam
叹气	thở dài
摊儿	quầy hàng, sạp
探索	tìm tòi
探讨	thảo luận, nghiên cứu
探望	thăm hỏi
贪污	tham ô
弹性	đàn hồi, linh hoạt
掏	móc (túi)
陶瓷	gốm sứ
讨价还价	mặc cả
淘气	nghịch ngợm
淘汰	đào thải
滔滔不绝	nói thao thao bất tuyệt
踏实	vững vàng, yên tâm
特长	sở trường
特定	đặc định, riêng
特色	đặc sắc
舔	liếm
天才	thiên tài
田径	điền kinh
天伦之乐	niềm vui gia đình
天然气	khí đốt tự nhiên
天生	bẩm sinh
天堂	thiên đường
天文	thiên văn
挑拨	xúi giục, gây chia rẽ
调和	điều hòa
调剂	điều tiết
调节	điều tiết, điều chỉnh
调解	hòa giải
条款	điều khoản
条理	mạch lạc
调料	gia vị
挑剔	kén chọn, khắt khe
挑衅	khiêu khích
条约	hiệp ước
跳跃	nhảy
提拔	đề bạt
题材	đề tài
提炼	tinh luyện
体谅	thông cảm
体面	thể diện
挺拔	cao thẳng
停泊	neo đậu
停顿	dừng lại
停滞	đình trệ
亭子	đình, chòi
提示	gợi ý, nhắc
体系	hệ thống
提议	đề nghị
同胞	đồng bào
统筹兼顾	lo liệu toàn diện
童话	truyện cổ tích
通货	tiền tệ lưu thông
统计	thống kê
铜矿	mỏ đồng
通俗	thông tục, dễ hiểu
统统	toàn bộ
通用	thông dụng
同志	đồng chí
投机	đầu cơ; hợp ý
投票	bỏ phiếu
投降	đầu hàng
投掷	ném
秃	hói, trọc
图案	hoa văn
团结	đoàn kết
团体	đoàn thể
团圆	đoàn viên
徒弟	đồ đệ
推测	suy đoán
推翻	lật đổ
推理	suy luận
推论	suy luận, kết luận
推销	tiếp thị, bán
途径	con đường, cách thức
涂抹	bôi
吞咽	nuốt
妥当	thỏa đáng
脱离	thoát ly, tách khỏi
唾沫	nước bọt
妥善	thỏa đáng, ổn thỏa
妥协	thỏa hiệp
拖延	trì hoãn
椭圆	hình bầu dục
托运	ký gửi (hành lý)
突破	đột phá
土壤	đất, thổ nhưỡng
哇	oa
外表	bề ngoài
外行	ngoại đạo, không chuyên
外界	bên ngoài, ngoại giới
歪曲	xuyên tạc
外向	hướng ngoại
瓦解	tan rã
挖掘	đào, khai thác
丸	viên
完备	hoàn bị
完毕	hoàn tất
万分	vô cùng
往常	thường ngày
网络	mạng, mạng lưới
往事	chuyện cũ
顽固	ngoan cố
妄想	vọng tưởng, ảo tưởng
挽回	cứu vãn, lấy lại
挽救	cứu vãn
玩弄	đùa giỡn, giở trò
顽强	ngoan cường
惋惜	tiếc nuối
玩意儿	thứ, đồ chơi
娃娃	búp bê, em bé
违背	trái với, vi phạm
微不足道	không đáng kể
维持	duy trì
唯独	duy chỉ
威风	oai phong
微观	vi mô
危机	khủng hoảng
畏惧	sợ hãi
胃口	khẩu vị
威力	uy lực
未免	không khỏi, hơi
为难	làm khó, khó xử
为期	trong thời hạn
维生素	vitamin
为首	đứng đầu
威望	uy tín
慰问	thăm hỏi, an ủi
威信	uy tín
卫星	vệ tinh
维修	bảo trì, sửa chữa
位于	nằm ở
委员	ủy viên
伪造	giả mạo
温带	ôn đới
温和	ôn hòa
文凭	văn bằng
问世	ra đời, ra mắt
文物	văn vật, cổ vật
文献	văn hiến, tài liệu
文雅	văn nhã
文艺	văn nghệ
窝	ổ, tổ
勿	đừng
无比	vô cùng
务必	nhất định phải
误差	sai số
无偿	không hoàn lại, miễn phí
无耻	vô liêm sỉ
无从	không có cách nào
舞蹈	vũ đạo, múa
无动于衷	thờ ơ, dửng dưng
无非	chẳng qua
乌黑	đen nhánh
误解	hiểu lầm
无精打采	ủ rũ, uể oải
无可奉告	không có gì để nói
无可奈何	bất đắc dĩ, hết cách
无赖	vô lại
无理取闹	gây sự vô lý
物美价廉	hàng tốt giá rẻ
污蔑	bôi nhọ
无能为力	bất lực
无穷无尽	vô cùng vô tận
侮辱	sỉ nhục
务实	thực tế, thực dụng
无微不至	chu đáo từng li từng tí
武侠	võ hiệp
诬陷	vu oan
无忧无虑	vô tư lự
无知	vô tri, ngu dốt
武装	vũ trang
物资	vật tư
溪	suối
霞	ráng mây
狭隘	hẹp hòi
峡谷	hẻm núi
夏令营	trại hè
弦	dây (đàn, cung)
嫌	ghét, chê
现场	hiện trường
现成	có sẵn
宪法	hiến pháp
巷	ngõ, hẻm
相差	chênh lệch
向导	người dẫn đường
相等	bằng nhau
想方设法	tìm mọi cách
相辅相成	bổ sung cho nhau
向来	xưa nay
响亮	vang dội
镶嵌	khảm, nạm
向往	mong mỏi, hướng tới
响应	hưởng ứng
相应	tương ứng
乡镇	thị trấn, xã
陷害	hãm hại
闲话	chuyện phiếm
贤惠	hiền thục
衔接	nối tiếp
先进	tiên tiến
鲜明	rõ nét, tươi sáng
掀起	dấy lên; lật
先前	trước đây
馅儿	nhân (bánh)
陷入	sa vào, rơi vào
线索	manh mối
纤维	sợi, xơ
嫌疑	tình nghi
显著	rõ rệt
现状	hiện trạng
消除	loại bỏ
消毒	khử trùng
消防	phòng cháy chữa cháy
消耗	tiêu hao
销毁	tiêu hủy
消极	tiêu cực
肖像	chân dung
小心翼翼	hết sức cẩn thận
效益	hiệu quả, lợi ích
下属	cấp dưới
狭窄	chật hẹp
细胞	tế bào
屑	vụn
携带	mang theo
协会	hiệp hội
谢绝	khước từ
泄露	tiết lộ
泄气	nản chí
协商	thương lượng
协议	hiệp định, thỏa thuận
协助	hỗ trợ
写作	viết văn, sáng tác
媳妇	con dâu; vợ
膝盖	đầu gối
袭击	tập kích
细菌	vi khuẩn
系列	loạt, chuỗi
熄灭	tắt (lửa)
新陈代谢	trao đổi chất
心得	điều tâm đắc
腥	tanh
性感	gợi cảm
兴高采烈	hớn hở, phấn khởi
幸好	may mà
兴隆	hưng thịnh
性命	tính mạng
性能	tính năng
性情	tính tình
刑事	hình sự
形态	hình thái
兴旺	hưng vượng
行政	hành chính
兴致勃勃	hào hứng
信赖	tin cậy
新郎	chú rể
心灵	tâm hồn
信念	niềm tin
新娘	cô dâu
辛勤	cần cù
薪水	lương
心态	tâm thế, tâm lý
心疼	xót xa, thương
欣慰	vui mừng, an lòng
欣欣向荣	phồn vinh phát triển
心血	tâm huyết
信仰	tín ngưỡng
心眼儿	lòng dạ, tâm ý
新颖	mới lạ
信誉	uy tín
凶恶	hung ác
雄厚	hùng hậu
胸怀	tấm lòng, hoài bão
凶手	hung thủ
胸膛	lồng ngực
吸取	tiếp thu, rút ra
昔日	ngày xưa
牺牲	hy sinh
习俗	tập tục
绣	thêu
羞耻	xấu hổ
修复	sửa chữa, phục hồi
修建	xây dựng
嗅觉	khứu giác
修理	sửa chữa
休养	tĩnh dưỡng
喜闻乐见	được ưa thích
夕阳	hoàng hôn, mặt trời lặn
喜悦	vui mừng
细致	tỉ mỉ
选拔	tuyển chọn
悬挂	treo
旋律	giai điệu
悬念	sự hồi hộp, nút thắt
宣誓	tuyên thệ
选手	tuyển thủ
宣扬	tuyên truyền, quảng bá
悬崖峭壁	vách núi cheo leo
旋转	xoay
学历	trình độ học vấn
削弱	làm suy yếu
雪上加霜	họa vô đơn chí
学说	học thuyết
学位	học vị
血压	huyết áp
虚假	giả dối
酗酒	nghiện rượu
许可	cho phép
畜牧	chăn nuôi
循环	tuần hoàn
巡逻	tuần tra
寻觅	tìm kiếm
熏陶	hun đúc, ảnh hưởng
循序渐进	tuần tự tiến dần
需求	nhu cầu
虚荣	hư vinh
虚伪	giả dối, đạo đức giả
序言	lời tựa
须知	điều cần biết
押金	tiền đặt cọc
亚军	á quân
演变	diễn biến
掩盖	che đậy
样品	hàng mẫu
氧气	khí ô-xy
眼光	tầm nhìn, con mắt
沿海	ven biển
严寒	giá rét
掩护	yểm hộ
烟花	pháo hoa
演讲	diễn thuyết
严禁	nghiêm cấm
严峻	nghiêm trọng, gay gắt
严厉	nghiêm khắc
言论	ngôn luận
严密	chặt chẽ, nghiêm ngặt
淹没	nhấn chìm
延期	lùi thời hạn
炎热	nóng bức
眼色	ánh mắt ra hiệu
延伸	kéo dài, mở rộng
眼神	ánh mắt
岩石	đá, nham thạch
掩饰	che giấu
验收	nghiệm thu
厌恶	chán ghét
演习	diễn tập
眼下	hiện giờ
延续	kéo dài, tiếp nối
演绎	diễn dịch, diễn giải
验证	kiểm chứng
演奏	biểu diễn (nhạc cụ)
摇摆	lắc lư, dao động
要不然	nếu không thì
要点	điểm chính
摇滚	rock
摇晃	lắc lư
遥控	điều khiển từ xa
要命	chết mất; vô cùng
要素	yếu tố
谣言	tin đồn
耀眼	chói mắt
咬牙切齿	nghiến răng
遥远	xa xôi
压迫	áp bức
压岁钱	tiền mừng tuổi
压缩	nén
压抑	đè nén, kìm nén
压榨	bóc lột, ép
压制	áp chế
野蛮	dã man
野心	dã tâm, tham vọng
亦	cũng
翼	cánh
以便	để tiện
遗产	di sản
异常	khác thường
遗传	di truyền
依次	lần lượt
一度	từng có một thời
一帆风顺	thuận buồm xuôi gió
一贯	nhất quán
疑惑	nghi hoặc
依旧	vẫn như cũ
依据	căn cứ
一举两得	một công đôi việc
依靠	dựa vào
依赖	ỷ lại, phụ thuộc
毅力	nghị lực
意料	dự liệu
遗留	để lại
一流	hạng nhất
一律	nhất loạt
以免	để tránh
一目了然	nhìn qua là hiểu
隐蔽	ẩn nấp, kín đáo
引导	dẫn dắt
应酬	giao tiếp xã giao, tiếp khách
婴儿	trẻ sơ sinh
盈利	lợi nhuận
迎面	đối diện, trước mặt
英明	anh minh
荧屏	màn hình
应邀	nhận lời mời
英勇	anh dũng
隐患	mối nguy tiềm ẩn
隐瞒	che giấu
阴谋	âm mưu
引擎	động cơ
饮食	ăn uống
印刷	in ấn
隐私	riêng tư
音响	âm thanh, dàn âm thanh
引用	trích dẫn
隐约	mờ nhạt, lờ mờ
仪器	thiết bị, dụng cụ
毅然	kiên quyết
一如既往	vẫn như trước
衣裳	quần áo
仪式	nghi thức
遗失	đánh mất
意识	ý thức
一丝不苟	tỉ mỉ từng li
意图	ý đồ
依托	dựa vào
以往	trước đây
意味着	có nghĩa là
意向	ý hướng
一向	xưa nay
一再	nhiều lần
抑制	kìm chế
意志	ý chí
以至	đến nỗi
以致	dẫn đến
用功	chăm chỉ học
永恒	vĩnh hằng
用户	người dùng
拥护	ủng hộ
庸俗	tầm thường, dung tục
涌现	xuất hiện hàng loạt
拥有	sở hữu
勇于	dám
踊跃	hăng hái
诱惑	cám dỗ
油腻	ngấy, nhiều dầu mỡ
油漆	sơn
犹如	như là
优胜劣汰	mạnh thắng yếu thua
有条不紊	đâu ra đấy, ngăn nắp
优先	ưu tiên
优异	xuất sắc
忧郁	u sầu
优越	ưu việt
幼稚	ấu trĩ
愈	càng; khỏi
原告	nguyên đơn
原理	nguyên lý
园林	viên lâm, công viên
圆满	viên mãn
源泉	nguồn suối, nguồn gốc
原始	nguyên thủy
元首	nguyên thủ
元素	nguyên tố
冤枉	oan uổng
原先	ban đầu
元宵节	Tết Nguyên tiêu
愚蠢	ngu ngốc
岳父	bố vợ
乐谱	bản nhạc
约束	ràng buộc
预料	dự liệu
舆论	dư luận
愚昧	ngu muội
渔民	ngư dân
熨	là, ủi
蕴藏	ẩn chứa
酝酿	ấp ủ, ủ
运算	tính toán, phép tính
运行	vận hành
孕育	thai nghén, nuôi dưỡng
预期	dự kiến
与日俱增	ngày càng tăng
羽绒服	áo lông vũ
预赛	vòng loại
预算	ngân sách, dự toán
欲望	dục vọng
预先	trước, dự
预言	tiên đoán
寓言	ngụ ngôn
予以	dành cho
预兆	điềm báo
砸	đập
扎	buộc; đâm
宰	giết mổ
在乎	để ý, quan tâm
再接再厉	tiếp tục cố gắng
灾难	tai nạn, thảm họa
栽培	trồng trọt, bồi dưỡng
在意	để ý
杂技	xiếc
杂交	lai tạo
攒	tích cóp
暂且	tạm thời
赞叹	tán thán
赞同	tán đồng
