# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
岁	tuổi
馒头	màn thầu
满足	thỏa mãn
毛	lông; hào
毛病	tật, lỗi
矛盾	mâu thuẫn
冒险	mạo hiểm
贸易	mậu dịch, thương mại
魅力	sức hút
眉毛	lông mày
美术	mỹ thuật
煤炭	than đá
面对	đối mặt
棉花	bông
面积	diện tích
面临	đứng trước, đối mặt
秒	giây
苗条	thon thả
描写	miêu tả
蜜蜂	ong mật
迷路	lạc đường
秘密	bí mật
命令	mệnh lệnh
名牌	hàng hiệu
名片	danh thiếp
明确	rõ ràng, minh xác
名胜	danh thắng
明显	rõ rệt
明星	ngôi sao, minh tinh
明信片	bưu thiếp
命运	vận mệnh
民主	dân chủ
密切	mật thiết
秘书	thư ký
谜语	câu đố
摸	sờ
模仿	bắt chước
模糊	mơ hồ
陌生	xa lạ
摩托车	xe máy
某	nào đó
目标	mục tiêu
目录	mục lục
目前	hiện nay
木头	gỗ
难怪	thảo nào
难看	xấu
脑袋	đầu
哪怕	cho dù
内科	nội khoa
嫩	non, mềm
能干	giỏi giang
能源	năng lượng
念	đọc; nhớ
年代	niên đại, thập niên
年纪	tuổi tác
宁可	thà rằng
牛仔裤	quần bò
浓	đậm
农民	nông dân
农业	nông nghiệp
女士	quý bà, bà
偶然	ngẫu nhiên
派	phái; cử
拍	vỗ; chụp
排队	xếp hàng
排球	bóng chuyền
盼望	mong đợi
赔偿	bồi thường
佩服	khâm phục
配合	phối hợp
培养	bồi dưỡng, đào tạo
盆	chậu
碰见	tình cờ gặp
匹	con (ngựa)
批	lô; phê
披	khoác
片	miếng, lát; phim
片面	phiến diện
飘	bay, phấp phới
疲劳	mệt mỏi
频道	kênh
平	bằng phẳng
凭	dựa vào
平常	bình thường
平等	bình đẳng
平方	bình phương
平衡	cân bằng
评价	đánh giá
平静	yên tĩnh, bình tĩnh
平均	trung bình
品种	giống, chủng loại
皮鞋	giày da
批准	phê chuẩn
破产	phá sản
破坏	phá hoại
迫切	cấp thiết
朴素	giản dị
欠	nợ, thiếu
浅	nông; nhạt
牵	dắt
抢	cướp, tranh
枪	súng
强调	nhấn mạnh
强烈	mạnh mẽ
前途	tiền đồ
谦虚	khiêm tốn
签字	ký tên
瞧	nhìn
巧妙	khéo léo
悄悄	lặng lẽ
期待	mong đợi
切	cắt
启发	gợi mở, khai sáng
气氛	bầu không khí
奇迹	kỳ tích
期间	thời gian, trong thời gian
亲爱	thân yêu
勤奋	cần cù
青	xanh
青春	thanh xuân
清淡	thanh đạm
情景	tình cảnh
请求	thỉnh cầu
青少年	thanh thiếu niên
轻视	coi nhẹ
情绪	tâm trạng, cảm xúc
庆祝	chúc mừng
勤劳	cần cù
侵略	xâm lược	qīnlüè
亲切	thân thiết
亲自	đích thân
企图	mưu toan
球迷	người hâm mộ (bóng)
企业	doanh nghiệp
汽油	xăng
其余	còn lại
娶	cưới (vợ)
劝	khuyên
圈	vòng
权力	quyền lực
权利	quyền lợi
全面	toàn diện
确定	xác định
缺乏	thiếu
确认	xác nhận
去世	qua đời
趋势	xu thế
取消	hủy bỏ
嚷	la hét
燃烧	cháy, đốt
绕	vòng quanh
热爱	yêu tha thiết
热烈	nhiệt liệt
忍不住	không nhịn được
人才	nhân tài
人口	dân số
人类	nhân loại
人生	đời người
人事	nhân sự
人物	nhân vật
人员	nhân viên
热心	nhiệt tình
日常	thường ngày
日程	lịch trình
日历	lịch
日期	ngày tháng
日用品	đồ dùng hàng ngày
融化	tan chảy
荣幸	vinh hạnh
荣誉	vinh dự
软件	phần mềm
如何	như thế nào
如今	ngày nay
弱	yếu
洒	vẩy, rắc
嗓子	cổ họng
傻	ngốc
杀	giết
晒	phơi
沙漠	sa mạc
删除	xóa
闪电	tia chớp
上当	mắc lừa
商品	hàng hóa
商业	thương mại
善良	lương thiện
善于	giỏi về
扇子	quạt
勺子	thìa
沙滩	bãi cát
蛇	rắn
设备	thiết bị
舍不得	không nỡ
设计	thiết kế
射击	bắn
伸	duỗi, vươn
身材	vóc dáng
身份	thân phận
升	lên, thăng
生产	sản xuất
声调	thanh điệu
生动	sinh động
胜利	thắng lợi
省略	lược bỏ	shěnglüè
绳子	dây thừng
神话	thần thoại
神经	thần kinh
深刻	sâu sắc
神秘	thần bí
设施	cơ sở vật chất
舌头	lưỡi
摄影	nhiếp ảnh
诗	thơ
士兵	binh sĩ
时代	thời đại
似的	như, giống như
是否	có phải hay không
实话	lời thật
实践	thực tiễn
使劲儿	dùng sức
试卷	đề thi
时刻	thời khắc; luôn
时髦	thời thượng
失眠	mất ngủ
时期	thời kỳ
失去	mất
时尚	thời trang
事实	sự thật
石头	đá
食物	thức ăn
事物	sự vật
实习	thực tập
实现	thực hiện
事先	trước
实行	thực hành
实验	thí nghiệm
失业	thất nghiệp
实用	thực dụng
始终	từ đầu đến cuối
手工	thủ công
收获	thu hoạch
收据	biên lai
寿命	tuổi thọ
受伤	bị thương
手术	phẫu thuật
手套	găng tay
手续	thủ tục
手指	ngón tay
甩	vung, vứt
摔	ngã
双方	hai bên
鼠标	chuột máy tính
蔬菜	rau
税	thuế
书架	giá sách
数据	dữ liệu
熟练	thành thạo
数码	kỹ thuật số
说不定	biết đâu
说服	thuyết phục
输入	nhập
舒适	thoải mái
属于	thuộc về
梳子	lược
撕	xé
丝绸	lụa
丝毫	chút nào
似乎	dường như
思考	suy nghĩ
寺庙	chùa chiền
私人	tư nhân
思想	tư tưởng
碎	vỡ vụn
随时	bất cứ lúc nào
损失	tổn thất
所	nơi; sở
锁	khóa
缩短	rút ngắn
所谓	cái gọi là
缩小	thu nhỏ
宿舍	ký túc xá
塔	tháp
台阶	bậc thềm
太极拳	Thái cực quyền
太太	bà, vợ
烫	bỏng; nóng
谈判	đàm phán
坦率	thẳng thắn
逃	trốn
桃	đào
套	bộ
逃避	trốn tránh
疼爱	yêu thương
特殊	đặc thù
特意	cố ý, đặc biệt
特征	đặc trưng
提	xách; nêu
天空	bầu trời
田野	đồng ruộng
天真	ngây thơ
调皮	nghịch ngợm
挑战	thách thức
调整	điều chỉnh
提倡	đề xướng
提纲	đề cương
体会	thể nghiệm, cảm nhận
体积	thể tích
题目	đề mục
体贴	quan tâm chu đáo
提问	đặt câu hỏi
体现	thể hiện
体验	trải nghiệm
铜	đồng
通常	thông thường
痛苦	đau khổ
痛快	sảng khoái
同时	đồng thời
通讯	thông tin liên lạc
统一	thống nhất
统治	thống trị
透明	trong suốt
投资	đầu tư
吐	nôn, nhổ
团	đoàn; cục
突出	nổi bật
土地	đất đai
土豆	khoai tây
退	lùi; trả lại
退步	thụt lùi
推辞	từ chối
推广	quảng bá, phổ biến
推荐	giới thiệu, tiến cử
退休	nghỉ hưu
兔子	thỏ
歪	lệch
外交	ngoại giao
弯	cong
往返	khứ hồi
王子	hoàng tử
玩具	đồ chơi
完美	hoàn mỹ
完善	hoàn thiện
万一	vạn nhất, lỡ như
完整	hoàn chỉnh
胃	dạ dày
尾巴	đuôi
未必	chưa chắc
伟大	vĩ đại
违反	vi phạm
危害	nguy hại
维护	bảo vệ
围巾	khăn quàng
未来	tương lai
委屈	ấm ức, tủi thân
围绕	xoay quanh
卫生间	nhà vệ sinh
委托	ủy thác
微笑	mỉm cười
威胁	đe dọa
唯一	duy nhất
位置	vị trí
闻	ngửi
吻	hôn
稳定	ổn định
问候	thăm hỏi
文件	văn kiện, tệp
文具	văn phòng phẩm
文明	văn minh
温暖	ấm áp
温柔	dịu dàng
文学	văn học
卧室	phòng ngủ
雾	sương mù
物理	vật lý
无奈	bất đắc dĩ
武器	vũ khí
无数	vô số
武术	võ thuật
物质	vật chất
屋子	phòng, nhà
系	buộc, thắt	jì	to tie; to fasten
瞎	mù; bừa
县	huyện
显得	tỏ ra, trông có vẻ
项	hạng mục
相处	chung sống, hòa hợp
相当	tương đương; khá
相对	tương đối
相关	liên quan
项链	dây chuyền
项目	hạng mục, dự án
想念	nhớ
橡皮	tẩy
象棋	cờ tướng
享受	hưởng thụ
相似	tương tự
想象	tưởng tượng
象征	tượng trưng
现金	tiền mặt
显然	rõ ràng
现实	hiện thực
显示	hiển thị
现象	hiện tượng
鲜艳	tươi tắn, rực rỡ
小吃	món ăn vặt
消费	tiêu dùng
消化	tiêu hóa
小伙子	chàng trai
效率	hiệu suất
小麦	lúa mì
消灭	tiêu diệt
小气	keo kiệt
消失	biến mất
销售	bán hàng
孝顺	hiếu thảo
小偷	kẻ trộm
下载	tải xuống
斜	nghiêng
歇	nghỉ
协调	phối hợp, hài hòa
细节	chi tiết
戏剧	kịch
系领带	thắt cà vạt
信封	phong bì
形成	hình thành
行动	hành động
幸亏	may mà
行人	người đi bộ
形容	hình dung
形式	hình thức
形势	tình thế
行为	hành vi
形象	hình tượng
幸运	may mắn
性质	tính chất
形状	hình dạng
信号	tín hiệu
心理	tâm lý
欣赏	thưởng thức
信息	thông tin
心脏	tim
胸	ngực
兄弟	anh em
雄伟	hùng vĩ
吸收	hấp thu
系统	hệ thống
修改	sửa đổi
休闲	thư giãn, giải trí
宣布	tuyên bố
宣传	tuyên truyền
选举	bầu cử
学期	học kỳ
学术	học thuật
学问	học vấn
训练	huấn luyện
迅速	nhanh chóng
询问	hỏi
寻找	tìm kiếm
叙述	kể lại, trần thuật
虚心	khiêm tốn
延长	kéo dài
痒	ngứa
样式	kiểu dáng
阳台	ban công
宴会	yến tiệc
严肃	nghiêm túc
摇	lắc
咬	cắn
腰	eo, lưng
要不	nếu không; hay là
要是	nếu
夜	đêm
液体	chất lỏng
业务	nghiệp vụ
业余	nghiệp dư; ngoài giờ
乙	ất (can thứ hai); B
一辈子	cả đời
一旦	một khi
移动	di chuyển
遗憾	tiếc nuối
以及	và, cùng với
以来	kể từ
一路	dọc đường
议论	bàn tán
移民	di dân
银	bạc
因而	do đó
硬币	tiền xu
应付	đối phó
硬件	phần cứng
迎接	đón tiếp
英俊	tuấn tú
应聘	ứng tuyển
英雄	anh hùng
营养	dinh dưỡng
营业	kinh doanh, mở cửa
应用	ứng dụng
影子	bóng
因素	nhân tố
依然	vẫn
意外	bất ngờ; tai nạn
疑问	nghi vấn
义务	nghĩa vụ
意义	ý nghĩa
一致	nhất trí
拥抱	ôm
拥挤	chen chúc
勇气	dũng khí
用途	công dụng
幼儿园	nhà trẻ, mẫu giáo
优惠	ưu đãi
